SYSTEM," ""1"""," ""SYSTEM"""," ""System Start"""," """"",,,
main," ""76"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.Iconkit:1"," fMap=java.util.Hashtable (id=130)""",,
main," ""77"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""78"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.Iconkit:1"," fRegisteredImages=java.util.Vector (id=133)""",,
main," ""79"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""80"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.Iconkit:1"," fComponent=CH.ifa.draw.samples.javadraw.JavaDrawApp:1""",,
main," ""81"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""82"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.Iconkit"," fgIconkit=CH.ifa.draw.util.Iconkit:1""",,
main," ""83"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""84"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.util.Iconkit:1#CH.ifa.draw.util.Iconkit:1"," value=<void>""",,
main," ""85"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""86"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""87"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.application.DrawApplication:1"," fIconkit=CH.ifa.draw.util.Iconkit:1""",,
main," ""88"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""89"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""90"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#open:1"," target=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1""",,
main," ""91"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""92"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""93"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1"," target=CH.ifa.draw.application.DrawApplication:1#getDrawingViewSize:1""",,
main," ""94"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""95"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""96"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#getDrawingViewSize:1"," result=java.awt.Dimension (id=136)""",,
main," ""97"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication:1#getDrawingViewSize:1"," value=java.awt.Dimension (id=136)""",,
main," ""98"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""99"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""100"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1"," d=java.awt.Dimension (id=136)""",,
main," ""101"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""102"""," ""SYSTEM"""," ""Type Load"""," ""class=java.awt.image.ImageObserver""",,,
main," ""103"""," ""SYSTEM"""," ""Type Load"""," ""class=java.awt.Panel""",,,
main," ""104"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.standard.StandardDrawingView""",,,
main," ""105"""," ""SYSTEM"""," ""New Object"""," ""object=CH.ifa.draw.standard.StandardDrawingView:1""",,,
main," ""106"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1"," target=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""107"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""108"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," height=600""",,
main," ""109"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," width=400""",,
main," ""110"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," editor=CH.ifa.draw.samples.javadraw.JavaDrawApp:1""",,
main," ""111"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""112"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""113"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fDamage=null""",,
main," ""114"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""115"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fBackgrounds=null""",,
main," ""116"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
