"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "189", "PatternIteratorImpl.java:9", "Field Write", "context=PatternIteratorImpl:1, patternList=java.util.ArrayList (id=48)"
"main", "190", "PatternIteratorImpl.java:10", "Line Step", "file=PatternIteratorImpl.java, line=10"
"main", "191", "PatternIteratorImpl.java:10", "Method Exit", "returner=PatternIteratorImpl:1#PatternIteratorImpl:1, value=<void>"
"main", "192", "PatternAggregateImpl.java:19", "Method Returned", ""
"main", "193", "PatternAggregateImpl.java:19", "Line Step", "file=PatternAggregateImpl.java, line=19"
"main", "194", "PatternAggregateImpl.java:19", "Variable Write", "context=PatternAggregateImpl:1#getPatternIterator:1, result=PatternIteratorImpl:1"
"main", "195", "PatternAggregateImpl.java:19", "Method Exit", "returner=PatternAggregateImpl:1#getPatternIterator:1, value=PatternIteratorImpl:1"
"main", "196", "PatternAggregateImplTest.java:25", "Method Returned", ""
"main", "197", "PatternAggregateImplTest.java:25", "Line Step", "file=PatternAggregateImplTest.java, line=25"
"main", "198", "PatternAggregateImplTest.java:25", "Variable Write", "context=PatternAggregateImplTest#printPatterns:1, patternIterator=PatternIteratorImpl:1"
"main", "199", "PatternAggregateImplTest.java:26", "Line Step", "file=PatternAggregateImplTest.java, line=26"
"main", "200", "PatternAggregateImplTest.java:26", "Method Call", "caller=PatternAggregateImplTest#printPatterns:1, target=PatternIteratorImpl:1#isLastPattern:1"
"main", "201", "PatternIteratorImpl.java:19", "Method Entered", ""
"main", "202", "PatternIteratorImpl.java:20", "Line Step", "file=PatternIteratorImpl.java, line=20"
"main", "203", "PatternIteratorImpl.java:20", "Field Read", "context=PatternIteratorImpl:1, position"
"main", "204", "PatternIteratorImpl.java:20", "Field Read", "context=PatternIteratorImpl:1, patternList"
"main", "205", "PatternIteratorImpl.java:21", "Line Step", "file=PatternIteratorImpl.java, line=21"
"main", "206", "PatternIteratorImpl.java:21", "Variable Write", "context=PatternIteratorImpl:1#isLastPattern:1, result=false"
"main", "207", "PatternIteratorImpl.java:21", "Method Exit", "returner=PatternIteratorImpl:1#isLastPattern:1, value=false"
"main", "208", "PatternAggregateImplTest.java:26", "Method Returned", ""
"main", "209", "PatternAggregateImplTest.java:26", "Line Step", "file=PatternAggregateImplTest.java, line=26"
"main", "210", "PatternAggregateImplTest.java:27", "Line Step", "file=PatternAggregateImplTest.java, line=27"
"main", "211", "PatternAggregateImplTest.java:27", "Method Call", "caller=PatternAggregateImplTest#printPatterns:1, target=PatternIteratorImpl:1#nextPattern:1"
"main", "212", "PatternIteratorImpl.java:12", "Method Entered", ""
"main", "213", "PatternIteratorImpl.java:13", "Line Step", "file=PatternIteratorImpl.java, line=13"
"main", "214", "PatternIteratorImpl.java:13", "Field Read", "context=PatternIteratorImpl:1, position"
"main", "215", "PatternIteratorImpl.java:14", "Line Step", "file=PatternIteratorImpl.java, line=14"
"main", "216", "PatternIteratorImpl.java:14", "Field Read", "context=PatternIteratorImpl:1, patternList"
"main", "217", "PatternIteratorImpl.java:14", "Field Read", "context=PatternIteratorImpl:1, position"
"main", "218", "PatternIteratorImpl.java:14", "Field Write", "context=PatternIteratorImpl:1, designPattern=DesignPattern:1"
"main", "219", "PatternIteratorImpl.java:15", "Line Step", "file=PatternIteratorImpl.java, line=15"
"main", "220", "PatternIteratorImpl.java:15", "Field Read", "context=PatternIteratorImpl:1, position"
