x,m,y,n,y,n,z,q,y,n,y,p,z,w,q
CH.ifa.draw.standard.DecoratorFigure:1,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.EllipseFigure:2,drawBackground,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,getFillColor,CH.ifa.draw.figures.EllipseFigure:2,CH.ifa.draw.figures.RoundRectangleFigure:2,drawBackground
CH.ifa.draw.standard.DecoratorFigure:1,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.EllipseFigure:2,drawBackground,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,getFrameColor,CH.ifa.draw.figures.EllipseFigure:2,CH.ifa.draw.figures.RectangleFigure:2,drawBackground
CH.ifa.draw.standard.DecoratorFigure:1,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.EllipseFigure:2,drawBackground,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,getFrameColor,CH.ifa.draw.figures.EllipseFigure:2,CH.ifa.draw.figures.RoundRectangleFigure:2,drawBackground
CH.ifa.draw.standard.DecoratorFigure:1,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.EllipseFigure:2,drawFrame,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,getFillColor,CH.ifa.draw.figures.EllipseFigure:2,CH.ifa.draw.figures.RectangleFigure:2,drawFrame
CH.ifa.draw.standard.DecoratorFigure:1,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.EllipseFigure:2,drawFrame,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,getFillColor,CH.ifa.draw.figures.EllipseFigure:2,CH.ifa.draw.figures.RoundRectangleFigure:2,drawFrame
CH.ifa.draw.standard.DecoratorFigure:1,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.EllipseFigure:2,drawFrame,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,getFrameColor,CH.ifa.draw.figures.EllipseFigure:2,CH.ifa.draw.figures.RectangleFigure:2,drawFrame
CH.ifa.draw.standard.DecoratorFigure:1,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.EllipseFigure:2,drawFrame,CH.ifa.draw.figures.AttributeFigure:6,draw,CH.ifa.draw.figures.AttributeFigure:6,getFrameColor,CH.ifa.draw.figures.EllipseFigure:2,CH.ifa.draw.figures.RoundRectangleFigure:2,drawFrame
CH.ifa.draw.standard.DecoratorFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:7,draw,CH.ifa.draw.figures.AttributeFigure:7,draw,CH.ifa.draw.figures.RoundRectangleFigure:2,drawBackground,CH.ifa.draw.figures.AttributeFigure:7,draw,CH.ifa.draw.figures.AttributeFigure:7,getFillColor,CH.ifa.draw.figures.RoundRectangleFigure:2,CH.ifa.draw.figures.EllipseFigure:2,drawBackground
CH.ifa.draw.standard.DecoratorFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:7,draw,CH.ifa.draw.figures.AttributeFigure:7,draw,CH.ifa.draw.figures.RoundRectangleFigure:2,drawBackground,CH.ifa.draw.figures.AttributeFigure:7,draw,CH.ifa.draw.figures.AttributeFigure:7,getFillColor,CH.ifa.draw.figures.RoundRectangleFigure:2,CH.ifa.draw.figures.RectangleFigure:2,drawBackground
CH.ifa.draw.standard.DecoratorFigure:2,draw,CH.ifa.draw.figures.AttributeFigure:7,draw,CH.ifa.draw.figures.AttributeFigure:7,draw,CH.ifa.draw.figures.RoundRectangleFigure:2,drawBackground,CH.ifa.draw.figures.AttributeFigure:7,draw,CH.ifa.draw.figures.AttributeFigure:7,getFrameColor,CH.ifa.draw.figures.RoundRectangleFigure:2,CH.ifa.draw.figures.EllipseFigure:2,drawBackground
