"main", "110", "EmpOriginator.java:29", "Field Write", "context=EmpOriginator:1, empPhoneNo=""131011888886"""
"main", "111", "EmpOriginator.java:30", "Line Step", "file=EmpOriginator.java, line=30"
"main", "112", "EmpOriginator.java:30", "Method Exit", "returner=EmpOriginator:1#setEmpPhoneNo:1, value=<void>"
"main", "113", "EmpOriginatorTest.java:10", "Method Returned", ""
"main", "114", "EmpOriginatorTest.java:11", "Line Step", "file=EmpOriginatorTest.java, line=11"
"main", "115", "EmpOriginatorTest.java:11", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpOriginator:1#saveToMemento:2"
"main", "116", "EmpOriginator.java:37", "Method Entered", ""
"main", "117", "EmpOriginator.java:38", "Line Step", "file=EmpOriginator.java, line=38"
"main", "118", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empId"
"main", "119", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empName"
"main", "120", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empPhoneNo"
"main", "121", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empDesignation"
"main", "122", "EmpOriginator.java:38", "New Object", "object=EmpMemento:2"
"main", "123", "EmpOriginator.java:38", "Method Call", "caller=EmpOriginator:1#saveToMemento:2, target=EmpMemento:2#EmpMemento:2"
"main", "124", "EmpMemento.java:6", "Method Entered", ""
"main", "125", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:2#EmpMemento:2, empId=306"
"main", "126", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:2#EmpMemento:2, empPhoneNo=""131011888886"""
"main", "127", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:2#EmpMemento:2, empName=""Mark Ferguson"""
"main", "128", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:2#EmpMemento:2, empDesignation=""Sales Manager"""
"main", "129", "EmpMemento.java:6", "Line Step", "file=EmpMemento.java, line=6"
"main", "130", "EmpMemento.java:7", "Line Step", "file=EmpMemento.java, line=7"
"main", "131", "EmpMemento.java:7", "Field Write", "context=EmpMemento:2, empId=306"
"main", "132", "EmpMemento.java:8", "Line Step", "file=EmpMemento.java, line=8"
"main", "133", "EmpMemento.java:8", "Field Write", "context=EmpMemento:2, empName=""Mark Ferguson"""
"main", "134", "EmpMemento.java:9", "Line Step", "file=EmpMemento.java, line=9"
"main", "135", "EmpMemento.java:9", "Field Write", "context=EmpMemento:2, empPhoneNo=""131011888886"""
"main", "136", "EmpMemento.java:10", "Line Step", "file=EmpMemento.java, line=10"
"main", "137", "EmpMemento.java:10", "Field Write", "context=EmpMemento:2, empDesignation=""Sales Manager"""
"main", "138", "EmpMemento.java:11", "Line Step", "file=EmpMemento.java, line=11"
"main", "139", "EmpMemento.java:11", "Method Exit", "returner=EmpMemento:2#EmpMemento:2, value=<void>"
"main", "140", "EmpOriginator.java:38", "Method Returned", ""
"main", "141", "EmpOriginator.java:38", "Line Step", "file=EmpOriginator.java, line=38"
"main", "142", "EmpOriginator.java:38", "Variable Write", "context=EmpOriginator:1#saveToMemento:2, empMemento=EmpMemento:2"
"main", "143", "EmpOriginator.java:39", "Line Step", "file=EmpOriginator.java, line=39"
"main", "144", "EmpOriginator.java:39", "Variable Write", "context=EmpOriginator:1#saveToMemento:2, result=EmpMemento:2"
"main", "145", "EmpOriginator.java:39", "Method Exit", "returner=EmpOriginator:1#saveToMemento:2, value=EmpMemento:2"
"main", "146", "EmpOriginatorTest.java:11", "Method Returned", ""
"main", "147", "EmpOriginatorTest.java:11", "Line Step", "file=EmpOriginatorTest.java, line=11"
