SYSTEM," ""1"""," ""SYSTEM"""," ""System Start"""," """"",,,
main," ""109"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""110"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fSelection=java.util.Vector (id=153)""",,
main," ""111"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""112"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.standard.BufferedUpdateStrategy""",,,
main," ""113"""," ""SYSTEM"""," ""New Object"""," ""object=CH.ifa.draw.standard.BufferedUpdateStrategy:1""",,,
main," ""114"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," target=CH.ifa.draw.standard.BufferedUpdateStrategy:1#BufferedUpdateStrategy:1""",,
main," ""115"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""116"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""117"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""118"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.BufferedUpdateStrategy:1"," fImagewidth=-1""",,
main," ""119"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""120"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.BufferedUpdateStrategy:1"," fImageheight=-1""",,
main," ""121"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""122"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.BufferedUpdateStrategy:1"," bufferedUpdateSerializedDataVersion=1""",,
main," ""123"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""124"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.standard.BufferedUpdateStrategy:1#BufferedUpdateStrategy:1"," value=<void>""",,
main," ""125"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""126"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""127"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," target=CH.ifa.draw.standard.StandardDrawingView:1#setDisplayUpdate:1""",,
main," ""128"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""129"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1#setDisplayUpdate:1"," updateStrategy=CH.ifa.draw.standard.BufferedUpdateStrategy:1""",,
main," ""130"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""131"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fUpdateStrategy=CH.ifa.draw.standard.BufferedUpdateStrategy:1""",,
main," ""132"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""133"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.standard.StandardDrawingView:1#setDisplayUpdate:1"," value=<void>""",,
main," ""134"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""135"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""136"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""137"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""138"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""139"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""140"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," value=<void>""",,
main," ""141"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""142"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""143"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1"," result=CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""144"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1"," value=CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""145"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""146"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""147"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.application.DrawApplication:1"," fView=CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""148"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""149"""," ""SYSTEM"""," ""Field Read"""," ""context=CH.ifa.draw.application.DrawApplication:1"," fView""",,
main," ""150"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#open:1"," target=CH.ifa.draw.application.DrawApplication:1#createContents:1""",,
main," ""151"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""152"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createContents:1"," view=CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""153"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""154"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createContents:1"," sp=java.awt.ScrollPane (id=158)""",,
main," ""155"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""156"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createContents:1"," vadjust=java.awt.ScrollPaneAdjustable (id=160)""",,
main," ""157"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""158"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createContents:1"," hadjust=java.awt.ScrollPaneAdjustable (id=162)""",,
main," ""159"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""160"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""161"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""162"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""163"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createContents:1"," result=java.awt.ScrollPane (id=158)""",,
main," ""164"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication:1#createContents:1"," value=java.awt.ScrollPane (id=158)""",,
main," ""165"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""166"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""167"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#open:1"," contents=java.awt.ScrollPane (id=158)""",,
main," ""168"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""169"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""170"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#open:1"," target=CH.ifa.draw.application.DrawApplication:1#createToolPalette:1""",,
main," ""171"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""172"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""173"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createToolPalette:1"," palette=java.awt.Panel (id=163)""",,
main," ""174"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""175"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""176"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.util.PaletteLayout""",,,
main," ""177"""," ""SYSTEM"""," ""New Object"""," ""object=CH.ifa.draw.util.PaletteLayout:1""",,,
