"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "188", "ContactInfo.java:175", "Method Exit", "returner=Contact:4#getName:6, value=""Tom Tommings"""
"main", "189", "ContactInfo.java:85", "Method Returned", ""
"main", "190", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "191", "ContactInfo.java:84", "Line Step", "file=ContactInfo.java, line=84"
"main", "192", "ContactInfo.java:83", "Line Step", "file=ContactInfo.java, line=83"
"main", "193", "ContactInfo.java:83", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, i=1"
"main", "194", "ContactInfo.java:83", "Variable Delete", "method=AscendingNameIterator:1#sortAscendingByName:1 <name=j,type=int (id=7),value=<?>,index=3>"
"main", "195", "ContactInfo.java:84", "Line Step", "file=ContactInfo.java, line=84"
"main", "196", "ContactInfo.java:84", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, j=2"
"main", "197", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "198", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:1#getName:7"
"main", "199", "ContactInfo.java:174", "Method Entered", ""
"main", "200", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "201", "ContactInfo.java:175", "Field Read", "context=Contact:1, name"
"main", "202", "ContactInfo.java:175", "Variable Write", "context=Contact:1#getName:7, result=""John Doe"""
"main", "203", "ContactInfo.java:175", "Method Exit", "returner=Contact:1#getName:7, value=""John Doe"""
"main", "204", "ContactInfo.java:85", "Method Returned", ""
"main", "205", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "206", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:2#getName:8"
"main", "207", "ContactInfo.java:174", "Method Entered", ""
"main", "208", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "209", "ContactInfo.java:175", "Field Read", "context=Contact:2, name"
"main", "210", "ContactInfo.java:175", "Variable Write", "context=Contact:2#getName:8, result=""Jane Doe"""
"main", "211", "ContactInfo.java:175", "Method Exit", "returner=Contact:2#getName:8, value=""Jane Doe"""
"main", "212", "ContactInfo.java:85", "Method Returned", ""
"main", "213", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "214", "ContactInfo.java:86", "Line Step", "file=ContactInfo.java, line=86"
"main", "215", "ContactInfo.java:86", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, tempContact=Contact:1"
"main", "216", "ContactInfo.java:87", "Line Step", "file=ContactInfo.java, line=87"
"main", "217", "ContactInfo.java:88", "Line Step", "file=ContactInfo.java, line=88"
"main", "218", "ContactInfo.java:84", "Line Step", "file=ContactInfo.java, line=84"
"main", "219", "ContactInfo.java:84", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, j=3"
"main", "220", "ContactInfo.java:84", "Variable Delete", "method=AscendingNameIterator:1#sortAscendingByName:1 <name=tempContact,type=Contact (id=93),value=<?>,index=4>"
"main", "221", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "222", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:2#getName:9"
"main", "223", "ContactInfo.java:174", "Method Entered", ""
"main", "224", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "225", "ContactInfo.java:175", "Field Read", "context=Contact:2, name"
"main", "226", "ContactInfo.java:175", "Variable Write", "context=Contact:2#getName:9, result=""Jane Doe"""
