"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "299", "ContactInfo.java:103", "Method Call", "caller=AscendingNameIterator:1#next:1, target=AscendingNameIterator:1#hasNext:2"
"main", "300", "ContactInfo.java:97", "Method Entered", ""
"main", "301", "ContactInfo.java:98", "Line Step", "file=ContactInfo.java, line=98"
"main", "302", "ContactInfo.java:98", "Field Read", "context=AscendingNameIterator:1, currentPosition"
"main", "303", "ContactInfo.java:98", "Field Read", "context=AscendingNameIterator:1, sortedContactBook"
"main", "304", "ContactInfo.java:98", "Variable Write", "context=AscendingNameIterator:1#hasNext:2, result=true"
"main", "305", "ContactInfo.java:98", "Method Exit", "returner=AscendingNameIterator:1#hasNext:2, value=true"
"main", "306", "ContactInfo.java:103", "Method Returned", ""
"main", "307", "ContactInfo.java:103", "Line Step", "file=ContactInfo.java, line=103"
"main", "308", "ContactInfo.java:104", "Line Step", "file=ContactInfo.java, line=104"
"main", "309", "ContactInfo.java:104", "Field Read", "context=AscendingNameIterator:1, sortedContactBook"
"main", "310", "ContactInfo.java:104", "Field Read", "context=AscendingNameIterator:1, currentPosition"
