"main", "134", "SYSTEM", "Field Read", "context=org.slf4j.helpers.SubstituteLoggerFactory:1, loggerNameList"
"main", "135", "SYSTEM", "Line Step", "<source unavailable>"
"main", "136", "SYSTEM", "Field Read", "context=org.slf4j.helpers.SubstituteLoggerFactory:1, loggerNameList"
"main", "137", "SYSTEM", "Line Step", "<source unavailable>"
"main", "138", "SYSTEM", "Line Step", "<source unavailable>"
"main", "139", "SYSTEM", "Variable Write", "context=org.slf4j.helpers.SubstituteLoggerFactory:1#getLoggerNameList:1, result=java.util.ArrayList (id=95)"
"main", "140", "SYSTEM", "Method Exit", "returner=org.slf4j.helpers.SubstituteLoggerFactory:1#getLoggerNameList:1, value=java.util.ArrayList (id=95)"
"main", "141", "SYSTEM", "Method Returned", ""
"main", "142", "SYSTEM", "Line Step", "<source unavailable>"
"main", "143", "SYSTEM", "Variable Write", "context=org.slf4j.LoggerFactory#emitSubstituteLoggerWarning:1, loggerNameList=java.util.ArrayList (id=95)"
"main", "144", "SYSTEM", "Line Step", "<source unavailable>"
"main", "145", "SYSTEM", "Line Step", "<source unavailable>"
"main", "146", "SYSTEM", "Method Exit", "returner=org.slf4j.LoggerFactory#emitSubstituteLoggerWarning:1, value=<void>"
"main", "147", "SYSTEM", "Method Returned", ""
"main", "148", "SYSTEM", "Line Step", "<source unavailable>"
"main", "149", "SYSTEM", "Line Step", "<source unavailable>"
"main", "150", "SYSTEM", "Method Exit", "returner=org.slf4j.LoggerFactory#bind:1, value=<void>"
"main", "151", "SYSTEM", "Method Returned", ""
"main", "152", "SYSTEM", "Line Step", "<source unavailable>"
"main", "153", "SYSTEM", "Field Read", "context=org.slf4j.LoggerFactory, INITIALIZATION_STATE"
"main", "154", "SYSTEM", "Line Step", "<source unavailable>"
"main", "155", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#performInitialization:1, target=org.slf4j.LoggerFactory#versionSanityCheck:1"
"main", "156", "SYSTEM", "Method Entered", ""
